time_tsnumber,time_secondsf,ke_mean,ke_max,dynstat_eta_max,dynstat_eta_min,dynstat_eta_mean,dynstat_uvel_max,dynstat_uvel_min,dynstat_vvel_max,dynstat_vvel_min,advcfl_uvel_max,advcfl_vvel_max,advcfl_wvel_max,dynstat_theta_max,dynstat_theta_min
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.573919783957,3.5034306861378
20.0,600.0,3.6761196381579e-11,1.9420564079489e-06,2.2717689111687e-05,-2.3811617431692e-06,-8.5570082798513e-24,3.6504702400979e-05,-2.6304574683866e-06,0.0019710244741718,-5.088806040965e-06,2.1674802518097e-07,1.172996116349e-05,9.177446205336e-06,33.573609954668,3.5034374835894
40.0,1200.0,2.7255955089478e-10,1.4398727895078e-05,6.9191046478243e-05,-1.0092320780895e-05,5.3734200522616e-22,0.00018406193116706,-8.9836555818624e-06,0.0053646153984333,-1.6017647773748e-05,1.0928745467703e-06,3.1925900010514e-05,2.5795614610122e-05,33.573309294533,3.5034441502425
60.0,1800.0,1.00348029067e-09,5.3000063123313e-05,0.00014407012348505,-2.556719147911e-05,-2.4041891526188e-22,0.00050433486596461,-1.9357587791655e-05,0.010286063509675,-3.2519133500317e-05,2.9945069823335e-06,6.1214422791163e-05,5.0340666470063e-05,33.573021974017,3.5034506281912
80.0,2400.0,2.8454102677781e-09,0.00015026364531484,0.00025629496106184,-5.0313682359451e-05,1.9847711064822e-21,0.0010678201855028,-3.5172335845367e-05,0.017307557465325,-5.5963283685209e-05,6.3402219778102e-06,0.00010300073873433,8.5543184563867e-05,33.572752783133,3.5034569749885
100.0,3000.0,6.9341502297021e-09,0.00036616040308773,0.00041928493977209,-8.3799686924577e-05,-9.6886100040481e-22,0.0019768360280148,-5.8680788381852e-05,0.026996622410049,-8.9255424000525e-05,1.1737537275946e-05,0.00016066230357101,0.00013462369171845,33.572508599876,3.5034632964739
120.0,3600.0,1.5279912277114e-08,0.00080681473307614,0.00065151179547548,-0.00012362502655151,1.1737183318891e-21,0.0033499319279889,-9.090993791561e-05,0.040041294928459,-0.00013394851822548,1.9890345137091e-05,0.00023829376073274,0.00020069327542379,33.572297171274,3.5034694588581
140.0,4200.0,3.115450892356e-08,0.0016449269439644,0.00097959096817459,-0.00016860407510031,-5.9546213445354e-21,0.0053439122392797,-0.0001339463228781,0.057123846819737,-0.00019415757452954,3.1729677231206e-05,0.0003399554462591,0.00028828568194597,33.572128699896,3.5034760008007
160.0,4800.0,5.945903904807e-08,0.0031391554990194,0.0014169886910701,-0.00021947014823687,-7.7040751631679e-21,0.0081314953903721,-0.0001901218298633,0.07883950616001,-0.00027243296951695,4.8281055636932e-05,0.00046918968157118,0.00040044578238685,33.572014254891,3.5034818629486
180.0,5400.0,1.0725791298091e-07,0.0056623445178378,0.0019734592651601,-0.00027936062270771,7.8969358158769e-21,0.011918467270024,-0.00026220550371672,0.10577725887899,-0.00037266887168276,7.0766341705404e-05,0.00062950163982738,0.00054097367130454,33.571966481025,3.503487522832
